FutureMaxAmplitude FutureMaxAmplitudeTime MaxAmplitude MinAmplitude AscentTime DescentTime CycleLength AscentDescentRatio CycleArea CycleEFoldingTime MaxAmplitude_MinAmplitude MaxAmplitude_AscentTime MaxAmplitude_DescentTime MaxAmplitude_CycleLength MaxAmplitude_AscentDescentRatio MaxAmplitude_CycleArea MaxAmplitude_CycleEFoldingTime MinAmplitude_AscentTime MinAmplitude_DescentTime MinAmplitude_CycleLength MinAmplitude_AscentDescentRatio MinAmplitude_CycleArea MinAmplitude_CycleEFoldingTime AscentTime_DescentTime AscentTime_CycleLength AscentTime_AscentDescentRatio AscentTime_CycleArea AscentTime_CycleEFoldingTime DescentTime_CycleLength DescentTime_AscentDescentRatio DescentTime_CycleArea DescentTime_CycleEFoldingTime CycleLength_AscentDescentRatio CycleLength_CycleArea CycleLength_CycleEFoldingTime AscentDescentRatio_CycleArea AscentDescentRatio_CycleEFoldingTime CycleArea_CycleEFoldingTime
124.4 124.4 234.0 3.7 1249.0 3044.0 11.761643835616438 -0.9730785931393834 12530.5 6.916666666666667 865.8000000000001 292266.0 712296.0 2752.2246575342465 -227.7003907946157 2932137.0 1618.5 4621.3 11262.800000000001 43.51808219178082 -3.6003907946157185 46362.850000000006 25.59166666666667 3801956.0 14690.29315068493 -1215.37516283109 15650594.5 8638.916666666668 35802.44383561644 -2962.051237516283 38142842.0 21054.333333333336 -11.445003836568144 147379.27808219177 81.3513698630137 -12193.161311333044 -6.730460269214069 86669.29166666667
146.5 146.5 124.4 8.3 1826.0 2282.0 11.254794520547945 -1.0396210163652024 7665.199999999999 7.416666666666667 1032.5200000000002 227154.40000000002 283880.8 1400.0964383561643 -129.32885443583118 953550.8799999999 922.6333333333334 15155.800000000001 18940.600000000002 93.41479452054794 -8.628854435831181 63621.159999999996 61.558333333333344 4166932.0 20551.254794520548 -1898.3479758828596 13996655.199999997 13542.833333333334 25683.441095890408 -2372.415159345392 17491986.4 16924.833333333336 -11.700720918433566 86270.2509589041 83.47305936073059 -7968.903014642548 -7.710522538041919 56850.23333333333
107.1 107.1 146.5 4.5 1402.0 2921.0 11.843835616438357 -0.9732394366197182 9223.05 6.916666666666667 659.25 205393.0 427926.5 1735.1219178082192 -142.5795774647887 1351176.825 1013.2916666666667 6309.0 13144.5 53.297260273972604 -4.379577464788732 41503.725 31.125 4095242.0 16605.057534246575 -1364.4816901408449 12930716.1 9697.166666666668 34595.84383561644 -2842.832394366197 26940529.049999997 20203.583333333336 -11.52688790275902 109236.28808219178 81.91986301369863 -8976.235985915491 -6.731572769953051 63792.7625
175.7 175.7 107.1 2.5 1492.0 2707.0 11.504109589041096 -0.9808795411089866 7429.349999999999 8.333333333333334 267.75 159793.19999999998 289919.7 1232.0901369863013 -105.05219885277245 795683.3849999999 892.5 3730.0 6767.5 28.76027397260274 -2.4521988527724665 18573.375 20.833333333333336 4038844.0 17164.131506849317 -1463.472275334608 11084590.2 12433.333333333334 31141.62465753425 -2655.240917782027 20111250.45 22558.333333333336 -11.284145734566122 85468.05657534246 95.86757990867581 -7287.297418738049 -8.173996175908222 61911.25
130.2 130.2 175.7 9.4 1492.0 2160.0 10.005479452054795 -1.0414912808177992 8858.8 6.833333333333333 1651.58 262144.39999999997 379512.0 1757.9627397260274 -182.9900180396873 1556491.1599999997 1200.6166666666666 14024.800000000001 20304.0 94.05150684931507 -9.790018039687313 83272.72 64.23333333333333 3222720.0 14928.175342465755 -1553.9049909801563 13217329.6 10195.333333333332 21611.835616438355 -2249.6211665664464 19135008.0 14760.0 -10.42061960971672 88636.54136986301 68.37077625570777 -9226.362958508718 -7.116857085588294 60535.133333333324
198.6 198.6 130.2 5.8 1736.0 1979.0 10.178082191780822 -0.9710610932475884 8259.050000000001 7.416666666666667 755.1599999999999 226027.19999999998 257665.8 1325.186301369863 -126.432154340836 1075328.31 965.65 10068.8 11478.199999999999 59.032876712328765 -5.632154340836013 47902.490000000005 43.016666666666666 3435544.0 17669.15068493151 -1685.7620578778135 14337710.800000003 12875.333333333334 20142.424657534248 -1921.7299035369774 16344659.950000003 14677.583333333334 -9.883539620314496 84061.2897260274 75.48744292237443 -8020.042122186496 -7.202036441586281 61254.62083333334
218.7 218.7 198.6 12.9 1308.0 2497.0 10.424657534246576 -1.0382337102854065 12002.300000000001 8.333333333333334 2561.94 259768.8 495904.2 2070.33698630137 -206.1932148626817 2383656.7800000003 1655.0 16873.2 32211.3 134.47808219178083 -13.393214862681743 154829.67 107.50000000000001 3266076.0 13635.452054794521 -1358.0096930533116 15699008.400000002 10900.0 26030.3698630137 -2592.46957458266 29969743.1 20808.333333333336 -10.82323087023554 125119.86712328768 86.87214611872147 -12461.192460958535 -8.65194758571172 100019.16666666669
285.0 285.0 218.7 5.1 1185.0 2527.0 10.169863013698631 -0.9634831460674157 13277.099999999999 7.666666666666667 1115.37 259159.5 552654.9 2224.1490410958904 -210.71376404494382 2903701.7699999996 1676.7 6043.5 12887.699999999999 51.86630136986302 -4.91376404494382 67713.20999999999 39.1 2994495.0 12051.287671232878 -1141.7275280898875 15733363.499999998 9085.0 25699.243835616442 -2434.7219101123596 33551231.699999996 19373.666666666668 -9.798491611513006 135026.28821917807 77.96894977168951 -12792.262078651684 -7.3867041198501875 101791.09999999999
156.6 156.6 285.0 14.3 1430.0 2406.0 10.509589041095891 -1.0339859623199112 16259.05 6.833333333333333 4075.5 407550.0 685710.0 2995.232876712329 -294.6859992611747 4633829.25 1947.5 20449.0 34405.8 150.28712328767125 -14.785999261174732 232504.415 97.71666666666667 3440580.0 15028.712328767124 -1478.5999261174732 23250441.5 9771.666666666666 25286.071232876715 -2487.7702253417065 39119274.3 16441.0 -10.866767538244329 170875.93369863014 71.81552511415525 -16811.629460657554 -7.065570742519393 111103.50833333332
232.9 232.9 156.6 17.8 1492.0 2677.0 11.421917808219177 -1.0252161383285303 11893.899999999998 8.583333333333334 2787.48 233647.19999999998 419218.2 1788.6723287671232 -160.54884726224785 1862584.7399999995 1344.15 26557.600000000002 47650.6 203.31013698630136 -18.24884726224784 211711.41999999998 152.78333333333336 3994084.0 17041.501369863014 -1529.6224783861671 17745698.799999997 12806.333333333334 30576.473972602736 -2744.503602305476 31839970.299999993 22977.583333333336 -11.709934467648337 135851.14821917805 98.03812785388128 -12193.818227665704 -8.799771853986552 102089.30833333332
